year_start,year_end,location_abbr,location_desc,data_source,question,response,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,stratification_category1,stratification_value,stratification_category2,stratification2,stratification_category3,stratification3,geolocation,location_id,topic_id,question_id,response_id,data_value_type_id,stratification_category_id1,stratification_category_id2,stratification_id2,stratification_category_id3,stratification_id3
2020,2020,US,United States,BRFSS,Recent activity limitation among adults,,Number,Age-adjusted Mean,2.9,2.9,,,2.8,2.9,Sex,Female,,,,,,59,HEA,HEA04,,AGEADJMEAN,SEX,,,,
2015,2019,AR,Arkansas,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,9537.0,9537.0,,,0.0,0.0,Sex,Male,,,,,POINT (-92.27449074299966 34.74865012400045),5,CAN,CAN07,,NMBR,SEX,,,,
2015,2019,CA,California,US Cancer DVT,"Cervical cancer mortality among all females, underlying cause",,Number,Number,486.0,486.0,,,0.0,0.0,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN03,,NMBR,OVERALL,,,,
2015,2019,CO,Colorado,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,2880.0,2880.0,,,0.0,0.0,Race/Ethnicity,Hispanic,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN07,,NMBR,RACE,,,,
2015,2019,GA,Georgia,US Cancer DVT,"Prostate cancer mortality among all males, underlying cause",,Number,Number,519.0,519.0,,,0.0,0.0,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN05,,NMBR,RACE,,,,
2015,2019,KS,Kansas,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,8102.0,8102.0,,,0.0,0.0,Sex,Male,,,,,POINT (-98.20078122699965 38.34774030000045),20,CAN,CAN07,,NMBR,SEX,,,,
2015,2019,ME,Maine,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,9238.0,9238.0,,,0.0,0.0,Overall,Overall,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN07,,NMBR,OVERALL,,,,
2015,2019,NJ,New Jersey,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,5587.0,5587.0,,,0.0,0.0,Race/Ethnicity,Hispanic,,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN07,,NMBR,RACE,,,,
2015,2019,NY,New York,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,Number,Number,2547.0,2547.0,,,0.0,0.0,Sex,Female,,,,,POINT (-75.54397042699964 42.82700103200045),36,CAN,CAN02,,NMBR,SEX,,,,
2015,2019,OR,Oregon,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,Number,Number,548.0,548.0,,,0.0,0.0,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),41,CAN,CAN02,,NMBR,OVERALL,,,,
