year_start,year_end,location_abbr,location_desc,datasource,class,question,data_value,data_value_alt,low_confidence_limit,high_confidence_limit,sample_size,age_range,education,income_range,race_ethnicity,geo_location,class_id,topic_id,question_id,data_value_type_id,location_id,stratification_category1,stratification_value
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.8,34.8,31.3,38.5,1367,,,"$15,000 - $24,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$15,000 - $24,999"
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.8,35.8,31.1,40.8,757,,,"$25,000 - $34,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$25,000 - $34,999"
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,32.3,28.0,36.8,861,,,"$35,000 - $49,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$35,000 - $49,999"
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.1,34.1,29.7,38.8,785,,,"$50,000 - $74,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$50,000 - $74,999"
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.8,28.8,25.4,32.5,1125,,,"$75,000 or greater",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$75,000 or greater"
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,16.3,16.3,12.6,20.9,356,18 - 24,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),18 - 24
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,27.8,14.4,46.9,58,,,,Non-Hispanic 2 or more races,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic 2 or more races
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.2,35.2,30.7,40.0,598,25 - 34,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),25 - 34
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,35.5,31.6,39.6,865,35 - 44,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),35 - 44
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.0,38.0,34.5,41.5,1288,45 - 54,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),45 - 54
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.4,36.4,33.4,39.5,1676,55 - 64,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),55 - 64
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,27.1,24.9,29.3,2521,65 or older,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),65 or older
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.9,32.9,18.4,51.7,61,,,,NH American Indian/Alaska Native,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,NH American Indian/Alaska Native
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,Non-Hispanic Asian,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Asian
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.4,26.4,23.7,29.3,1812,,College graduate,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,College graduate
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.8,23.8,20.7,27.3,1297,,,Data not reported,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,Data not reported
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.8,31.8,30.0,33.6,4723,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Female
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,NH Hawaiian/Pacific Islander,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,NH Hawaiian/Pacific Islander
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.8,32.8,30.2,35.6,2402,,High school graduate,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,High school graduate
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,28.6,17.5,43.1,115,,,,Hispanic,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Hispanic
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.5,38.5,34.4,42.8,1112,,,"Less than $15,000",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"Less than $15,000"
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.6,33.6,29.9,37.6,1153,,Less than high school,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,Less than high school
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,32.3,29.9,34.7,2581,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Male
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,40.1,40.1,36.9,43.3,1878,,,,Non-Hispanic Black,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Black
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.8,29.8,28.0,31.6,5042,,,,Non-Hispanic White,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic White
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,0.0,0.0,0.0,0.0,0,,,,Non-Hispanic Other,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Other
